Field,Type,Null,Key,Default,Extra
PARTICIPANT_ID,int(11),NO,PRI,NULL,auto_increment
BROWSER,text,YES,,NULL,
BROWSER_LANGUAGE,varchar(255),YES,,NULL,
DEVICE,varchar(16),YES,,NULL,
SCREEN_W,int(11),YES,,NULL,
SCREEN_H,int(11),YES,,NULL,
AGE,int(11),YES,,NULL,
GENDER,varchar(16),YES,,NULL,
HAS_TAKEN_TYPING_COURSE,tinyint(1),YES,,NULL,
LAYOUT,varchar(16),YES,,NULL,
WPM,double,YES,,NULL,
ERROR_RATE,double,YES,,NULL,
NATIVE_LANGUAGE,varchar(32),YES,,NULL,
KEYBOARD_TYPE,varchar(16),YES,,NULL,
USING_APP,text,YES,,NULL,
USING_FEATURES,text,YES,,NULL,
FINGERS,text,YES,,NULL,
TIME_SPENT_TYPING,varchar(16),YES,,NULL,
TYPE_ENGLISH,varchar(16),YES,,NULL,
P_KPD,double,YES,,NULL,
P_IKI,double,YES,,NULL,
P_BSP,double,YES,,NULL,
P_ECPC,double,YES,,NULL,
P_UILEN,double,YES,,NULL,
P_KSPC,double,YES,,NULL,
ITE_SWYPE,double,YES,,NULL,
ITE_PREDICT,double,YES,,NULL,
ITE_AUTOCORR,double,YES,,NULL,
